order_id,requested_at,flight_id,origin_hub,destination,clinical_category,urgency,requested_item,payload_weight_kg,service_level_minutes,order_status
ORD-00001,2025-01-01T12:41:00,FL-10000,Nest_Alpha,Ngoma_Health_Post,vaccine,emergency,routine_vaccines,0.75,30,fulfilled
ORD-00002,2025-01-01T09:24:00,FL-10001,Nest_Alpha,Kabuga_Health_Center,medication,routine,antiretroviral_supply,1.05,180,fulfilled
ORD-00003,2025-01-01T04:36:00,FL-10002,Nest_Alpha,Kigali_East_Clinic,supplies,routine,diagnostic_test_kits,0.9,180,fulfilled
ORD-00004,2025-01-01T12:02:00,FL-10003,Nest_Alpha,Rwamagana_Clinic,medication,routine,insulin_cold_chain,0.65,180,fulfilled
ORD-00005,2025-01-01T04:36:00,FL-10004,Nest_Alpha,Kayonza_Clinic,medication,routine,insulin_cold_chain,0.65,180,fulfilled
ORD-00006,2025-01-01T17:09:00,FL-10005,Nest_Alpha,Bugesera_Health_Post,blood_product,routine,platelets_2_units,1.55,180,fulfilled
ORD-00007,2025-01-01T05:34:00,FL-10006,Nest_Alpha,Rwamagana_Clinic,blood_product,routine,O_negative_whole_blood,1.35,180,fulfilled
ORD-00008,2025-01-01T08:22:00,FL-10007,Nest_Alpha,Kigali_East_Clinic,supplies,routine,diagnostic_test_kits,0.9,180,fulfilled
ORD-00009,2025-01-01T08:48:00,FL-10008,Nest_Alpha,Kayonza_Clinic,vaccine,routine,routine_vaccines,0.75,180,fulfilled
ORD-00010,2025-01-01T16:05:00,FL-10009,Nest_Alpha,Kayonza_Clinic,blood_product,routine,platelets_2_units,1.55,180,fulfilled
ORD-00011,2025-01-01T14:39:00,FL-10010,Nest_Alpha,Kigali_East_Clinic,vaccine,routine,routine_vaccines,0.75,180,fulfilled
ORD-00012,2025-01-01T06:43:00,FL-10011,Nest_Alpha,Rwamagana_Clinic,blood_product,routine,O_negative_whole_blood,1.35,180,fulfilled
ORD-00013,2025-01-01T09:51:00,FL-10012,Nest_Alpha,Rwamagana_Clinic,supplies,scheduled,diagnostic_test_kits,0.9,180,fulfilled
ORD-00014,2025-01-01T12:21:00,FL-10013,Nest_Alpha,Bugesera_Health_Post,vaccine,scheduled,routine_vaccines,0.75,180,fulfilled
ORD-00015,2025-01-01T08:06:00,FL-10014,Nest_Alpha,Ngoma_Health_Post,medication,scheduled,antiretroviral_supply,1.05,180,fulfilled
ORD-00016,2025-01-01T15:07:00,FL-10015,Nest_Alpha,Kayonza_Clinic,blood_product,urgent,O_negative_whole_blood,1.35,30,fulfilled
ORD-00017,2025-01-01T06:46:00,FL-10016,Nest_Alpha,Ngoma_Health_Post,medication,urgent,antiretroviral_supply,1.05,30,fulfilled
ORD-00018,2025-01-01T08:48:00,FL-10017,Nest_Alpha,Kayonza_Clinic,vaccine,urgent,routine_vaccines,0.75,30,fulfilled
ORD-00019,2025-01-01T08:00:00,FL-10018,Nest_Alpha,Kayonza_Clinic,vaccine,urgent,routine_vaccines,0.75,30,fulfilled
ORD-00020,2025-01-01T08:26:00,FL-10019,Nest_Alpha,Kayonza_Clinic,supplies,emergency,diagnostic_test_kits,0.9,30,fulfilled
ORD-00021,2025-01-01T05:59:00,FL-10020,Nest_Alpha,Kayonza_Clinic,medication,scheduled,insulin_cold_chain,0.65,180,fulfilled
ORD-00022,2025-01-01T11:06:00,FL-10021,Nest_Alpha,Ngoma_Health_Post,blood_product,routine,platelets_2_units,1.55,180,fulfilled
ORD-00023,2025-01-01T06:49:00,FL-10022,Nest_Alpha,Kigali_East_Clinic,medication,routine,antiretroviral_supply,1.05,180,fulfilled
ORD-00024,2025-01-01T15:17:00,FL-10023,Nest_Alpha,Ngoma_Health_Post,medication,urgent,antiretroviral_supply,1.05,30,fulfilled
ORD-00025,2025-01-01T06:56:00,FL-10024,Nest_Alpha,Bugesera_Health_Post,medication,routine,insulin_cold_chain,0.65,180,fulfilled
ORD-00026,2025-01-01T16:08:00,FL-10025,Nest_Alpha,Kigali_East_Clinic,supplies,routine,diagnostic_test_kits,0.9,180,fulfilled
ORD-00027,2025-01-01T05:37:00,FL-10026,Nest_Alpha,Kayonza_Clinic,medication,scheduled,insulin_cold_chain,0.65,180,fulfilled
ORD-00028,2025-01-01T05:08:00,FL-10027,Nest_Alpha,Kabuga_Health_Center,medication,routine,antiretroviral_supply,1.05,180,fulfilled
ORD-00029,2025-01-01T14:05:00,FL-10028,Nest_Alpha,Kigali_East_Clinic,medication,routine,antiretroviral_supply,1.05,180,fulfilled
ORD-00030,2025-01-01T11:53:00,FL-10029,Nest_Alpha,Rwamagana_Clinic,medication,emergency,insulin_cold_chain,0.65,30,fulfilled
ORD-00031,2025-01-01T12:20:00,FL-10030,Nest_Alpha,Kigali_East_Clinic,medication,scheduled,insulin_cold_chain,0.65,180,fulfilled
ORD-00032,2025-01-01T05:56:00,FL-10031,Nest_Alpha,Kigali_East_Clinic,vaccine,urgent,routine_vaccines,0.75,30,fulfilled
ORD-00033,2025-01-01T07:06:00,FL-10032,Nest_Alpha,Kabuga_Health_Center,vaccine,routine,routine_vaccines,0.75,180,fulfilled
ORD-00034,2025-01-01T04:01:00,FL-10033,Nest_Alpha,Ngoma_Health_Post,blood_product,urgent,O_negative_whole_blood,1.35,30,fulfilled
ORD-00035,2025-01-01T16:46:00,FL-10034,Nest_Alpha,Kigali_East_Clinic,blood_product,routine,platelets_2_units,1.55,180,fulfilled
ORD-00036,2025-01-01T12:38:00,FL-10035,Nest_Alpha,Ngoma_Health_Post,medication,routine,antiretroviral_supply,1.05,180,fulfilled
ORD-00037,2025-01-01T14:27:00,FL-10036,Nest_Alpha,Kayonza_Clinic,supplies,routine,diagnostic_test_kits,0.9,180,fulfilled
ORD-00038,2025-01-01T03:53:00,FL-10037,Nest_Alpha,Kayonza_Clinic,vaccine,routine,routine_vaccines,0.75,180,fulfilled
ORD-00039,2025-01-01T15:12:00,FL-10038,Nest_Beta,Kamonyi_Health_Center,blood_product,urgent,O_negative_whole_blood,1.35,30,fulfilled
ORD-00040,2025-01-01T07:27:00,FL-10039,Nest_Beta,Gisagara_Clinic,medication,routine,insulin_cold_chain,0.65,180,fulfilled
ORD-00041,2025-01-01T14:34:00,FL-10040,Nest_Beta,Huye_District_Hospital,vaccine,routine,routine_vaccines,0.75,180,fulfilled
ORD-00042,2025-01-01T12:29:00,FL-10041,Nest_Beta,Kamonyi_Health_Center,blood_product,scheduled,O_negative_whole_blood,1.35,180,fulfilled
ORD-00043,2025-01-01T08:30:00,FL-10042,Nest_Beta,Kamonyi_Health_Center,supplies,urgent,diagnostic_test_kits,0.9,30,fulfilled
ORD-00044,2025-01-01T11:04:00,FL-10043,Nest_Beta,Kamonyi_Health_Center,medication,scheduled,antiretroviral_supply,1.05,180,fulfilled
ORD-00045,2025-01-01T08:32:00,FL-10044,Nest_Beta,Nyanza_District_Hospital,blood_product,routine,O_negative_whole_blood,1.35,180,fulfilled
ORD-00046,2025-01-01T10:21:00,FL-10045,Nest_Beta,Gisagara_Clinic,blood_product,routine,platelets_2_units,1.55,180,fulfilled
ORD-00047,2025-01-01T11:58:00,FL-10046,Nest_Beta,Gisagara_Clinic,medication,routine,insulin_cold_chain,0.65,180,fulfilled
ORD-00048,2025-01-01T08:12:00,FL-10047,Nest_Beta,Kamonyi_Health_Center,medication,routine,antiretroviral_supply,1.05,180,fulfilled
ORD-00049,2025-01-01T11:50:00,FL-10048,Nest_Beta,Huye_District_Hospital,supplies,urgent,diagnostic_test_kits,0.9,30,fulfilled
ORD-00050,2025-01-01T17:21:00,FL-10049,Nest_Beta,Nyanza_District_Hospital,vaccine,scheduled,routine_vaccines,0.75,180,fulfilled
ORD-00051,2025-01-01T12:43:00,FL-10050,Nest_Beta,Huye_District_Hospital,blood_product,scheduled,platelets_2_units,1.55,180,fulfilled
ORD-00052,2025-01-01T10:48:00,FL-10051,Nest_Beta,Huye_District_Hospital,supplies,routine,diagnostic_test_kits,0.9,180,fulfilled
ORD-00053,2025-01-01T04:45:00,FL-10052,Nest_Beta,Nyanza_District_Hospital,medication,urgent,insulin_cold_chain,0.65,30,fulfilled
ORD-00054,2025-01-01T16:50:00,FL-10053,Nest_Beta,Huye_District_Hospital,blood_product,urgent,O_negative_whole_blood,1.35,30,fulfilled
ORD-00055,2025-01-01T06:52:00,FL-10054,Nest_Beta,Huye_District_Hospital,blood_product,routine,platelets_2_units,1.55,180,fulfilled
ORD-00056,2025-01-01T12:10:00,FL-10055,Nest_Beta,Nyanza_District_Hospital,medication,routine,insulin_cold_chain,0.65,180,fulfilled
ORD-00057,2025-01-01T16:54:00,FL-10056,Nest_Beta,Nyanza_District_Hospital,supplies,routine,diagnostic_test_kits,0.9,180,fulfilled
ORD-00058,2025-01-01T13:59:00,FL-10057,Nest_Beta,Nyanza_District_Hospital,blood_product,scheduled,platelets_2_units,1.55,180,fulfilled
ORD-00059,2025-01-01T07:33:00,FL-10058,Nest_Beta,Kamonyi_Health_Center,blood_product,urgent,platelets_2_units,1.55,30,fulfilled
ORD-00060,2025-01-01T09:58:00,FL-10059,Nest_Beta,Nyanza_District_Hospital,medication,scheduled,antiretroviral_supply,1.05,180,fulfilled
ORD-00061,2025-01-01T13:32:00,FL-10060,Nest_Beta,Huye_District_Hospital,medication,urgent,insulin_cold_chain,0.65,30,fulfilled
ORD-00062,2025-01-01T06:52:00,FL-10061,Nest_Beta,Nyanza_District_Hospital,medication,routine,antiretroviral_supply,1.05,180,fulfilled
ORD-00063,2025-01-01T11:04:00,FL-10062,Nest_Beta,Gisagara_Clinic,medication,routine,insulin_cold_chain,0.65,180,fulfilled
ORD-00064,2025-01-01T16:30:00,FL-10063,Nest_Beta,Kamonyi_Health_Center,blood_product,scheduled,O_negative_whole_blood,1.35,180,fulfilled
ORD-00065,2025-01-01T08:44:00,FL-10064,Nest_Beta,Gisagara_Clinic,blood_product,routine,platelets_2_units,1.55,180,fulfilled
ORD-00066,2025-01-01T14:35:00,FL-10065,Nest_Beta,Nyanza_District_Hospital,medication,routine,antiretroviral_supply,1.05,180,fulfilled
ORD-00067,2025-01-01T13:27:00,FL-10066,Nest_Beta,Huye_District_Hospital,blood_product,routine,platelets_2_units,1.55,180,fulfilled
ORD-00068,2025-01-01T15:35:00,FL-10067,Nest_Beta,Kamonyi_Health_Center,blood_product,routine,platelets_2_units,1.55,180,fulfilled
ORD-00069,2025-01-01T10:14:00,FL-10068,Nest_Beta,Huye_District_Hospital,medication,routine,antiretroviral_supply,1.05,180,fulfilled
ORD-00070,2025-01-01T06:40:00,FL-10069,Nest_Beta,Gisagara_Clinic,medication,routine,insulin_cold_chain,0.65,180,fulfilled
ORD-00071,2025-01-01T09:55:00,FL-10070,Nest_Gamma,Nyabihu_Clinic,blood_product,routine,O_negative_whole_blood,1.35,180,fulfilled
ORD-00072,2025-01-01T15:18:00,FL-10071,Nest_Gamma,Rubavu_Clinic,medication,scheduled,antiretroviral_supply,1.05,180,fulfilled
ORD-00073,2025-01-01T10:36:00,FL-10072,Nest_Gamma,Rubavu_Clinic,blood_product,urgent,O_negative_whole_blood,1.35,30,fulfilled
ORD-00074,2025-01-01T05:02:00,FL-10073,Nest_Gamma,Gakenke_Health_Post,vaccine,routine,routine_vaccines,0.75,180,fulfilled
ORD-00075,2025-01-01T14:15:00,FL-10074,Nest_Gamma,Rubavu_Clinic,blood_product,routine,platelets_2_units,1.55,180,fulfilled
ORD-00076,2025-01-01T16:10:00,FL-10075,Nest_Gamma,Musanze_Clinic,blood_product,emergency,platelets_2_units,1.55,30,fulfilled
ORD-00077,2025-01-01T12:08:00,FL-10076,Nest_Gamma,Nyabihu_Clinic,blood_product,routine,platelets_2_units,1.55,180,fulfilled
ORD-00078,2025-01-01T07:12:00,FL-10077,Nest_Gamma,Rubavu_Clinic,medication,routine,antiretroviral_supply,1.05,180,fulfilled
ORD-00079,2025-01-01T12:31:00,FL-10078,Nest_Gamma,Musanze_Clinic,medication,urgent,antiretroviral_supply,1.05,30,fulfilled
ORD-00080,2025-01-01T07:54:00,FL-10079,Nest_Gamma,Rubavu_Clinic,supplies,urgent,diagnostic_test_kits,0.9,30,fulfilled
ORD-00081,2025-01-01T05:01:00,FL-10080,Nest_Gamma,Rubavu_Clinic,blood_product,scheduled,O_negative_whole_blood,1.35,180,fulfilled
ORD-00082,2025-01-01T09:45:00,FL-10081,Nest_Gamma,Rubavu_Clinic,vaccine,scheduled,routine_vaccines,0.75,180,fulfilled
ORD-00083,2025-01-01T08:24:00,FL-10082,Nest_Gamma,Rubavu_Clinic,blood_product,scheduled,platelets_2_units,1.55,180,fulfilled
ORD-00084,2025-01-01T08:00:00,FL-10083,Nest_Gamma,Nyabihu_Clinic,supplies,emergency,diagnostic_test_kits,0.9,30,fulfilled
ORD-00085,2025-01-01T13:23:00,FL-10084,Nest_Gamma,Musanze_Clinic,supplies,routine,diagnostic_test_kits,0.9,180,fulfilled
ORD-00086,2025-01-01T10:21:00,FL-10085,Nest_Gamma,Nyabihu_Clinic,medication,scheduled,antiretroviral_supply,1.05,180,fulfilled
ORD-00087,2025-01-01T16:50:00,FL-10086,Nest_Gamma,Rubavu_Clinic,medication,scheduled,insulin_cold_chain,0.65,180,fulfilled
ORD-00088,2025-01-01T07:52:00,FL-10087,Nest_Gamma,Gakenke_Health_Post,blood_product,scheduled,O_negative_whole_blood,1.35,180,fulfilled
ORD-00089,2025-01-01T15:17:00,FL-10088,Nest_Gamma,Musanze_Clinic,medication,scheduled,antiretroviral_supply,1.05,180,fulfilled
ORD-00090,2025-01-01T10:25:00,FL-10089,Nest_Gamma,Nyabihu_Clinic,supplies,scheduled,diagnostic_test_kits,0.9,180,fulfilled
ORD-00091,2025-01-01T10:27:00,FL-10090,Nest_Gamma,Nyabihu_Clinic,medication,emergency,insulin_cold_chain,0.65,30,fulfilled
ORD-00092,2025-01-01T17:27:00,FL-10091,Nest_Gamma,Musanze_Clinic,medication,scheduled,insulin_cold_chain,0.65,180,fulfilled
ORD-00093,2025-01-01T05:44:00,FL-10092,Nest_Gamma,Musanze_Clinic,supplies,scheduled,diagnostic_test_kits,0.9,180,fulfilled
ORD-00094,2025-01-01T04:59:00,FL-10093,Nest_Gamma,Gakenke_Health_Post,supplies,scheduled,diagnostic_test_kits,0.9,180,reassigned_or_delayed
ORD-00095,2025-01-01T04:38:00,FL-10094,Nest_Gamma,Nyabihu_Clinic,blood_product,routine,O_negative_whole_blood,1.35,180,fulfilled
ORD-00096,2025-01-01T13:07:00,FL-10095,Nest_Gamma,Rubavu_Clinic,blood_product,emergency,O_negative_whole_blood,1.35,30,fulfilled
ORD-00097,2025-01-01T06:51:00,FL-10096,Nest_Gamma,Gakenke_Health_Post,blood_product,routine,platelets_2_units,1.55,180,fulfilled
ORD-00098,2025-01-01T17:12:00,FL-10097,Nest_Gamma,Gakenke_Health_Post,blood_product,urgent,O_negative_whole_blood,1.35,30,fulfilled
ORD-00099,2025-01-01T04:54:00,FL-10098,Nest_Gamma,Rubavu_Clinic,medication,scheduled,antiretroviral_supply,1.05,180,fulfilled
