drone_id,drone_model,home_hub,commissioned_date,max_payload_kg,normal_route_limit_km,planned_flights_per_day,current_configuration
ZIP-001,Zip_Mk4_standardized_fixed_wing,Nest_Alpha,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-002,Zip_Mk4_standardized_fixed_wing,Nest_Alpha,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-003,Zip_Mk4_standardized_fixed_wing,Nest_Alpha,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-004,Zip_Mk4_standardized_fixed_wing,Nest_Alpha,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-005,Zip_Mk4_standardized_fixed_wing,Nest_Alpha,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-006,Zip_Mk4_standardized_fixed_wing,Nest_Alpha,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-007,Zip_Mk4_standardized_fixed_wing,Nest_Alpha,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-008,Zip_Mk4_standardized_fixed_wing,Nest_Alpha,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-009,Zip_Mk4_standardized_fixed_wing,Nest_Beta,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-010,Zip_Mk4_standardized_fixed_wing,Nest_Beta,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-011,Zip_Mk4_standardized_fixed_wing,Nest_Beta,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-012,Zip_Mk4_standardized_fixed_wing,Nest_Beta,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-013,Zip_Mk4_standardized_fixed_wing,Nest_Beta,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-014,Zip_Mk4_standardized_fixed_wing,Nest_Beta,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-015,Zip_Mk4_standardized_fixed_wing,Nest_Beta,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-016,Zip_Mk4_standardized_fixed_wing,Nest_Beta,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-017,Zip_Mk4_standardized_fixed_wing,Nest_Gamma,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-018,Zip_Mk4_standardized_fixed_wing,Nest_Gamma,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-019,Zip_Mk4_standardized_fixed_wing,Nest_Gamma,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-020,Zip_Mk4_standardized_fixed_wing,Nest_Gamma,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-021,Zip_Mk4_standardized_fixed_wing,Nest_Gamma,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-022,Zip_Mk4_standardized_fixed_wing,Nest_Gamma,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-023,Zip_Mk4_standardized_fixed_wing,Nest_Gamma,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-024,Zip_Mk4_standardized_fixed_wing,Nest_Delta,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-025,Zip_Mk4_standardized_fixed_wing,Nest_Delta,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-026,Zip_Mk4_standardized_fixed_wing,Nest_Delta,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-027,Zip_Mk4_standardized_fixed_wing,Nest_Delta,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-028,Zip_Mk4_standardized_fixed_wing,Nest_Delta,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-029,Zip_Mk4_standardized_fixed_wing,Nest_Delta,2024-06-01,1.75,55,5,standard_medical_delivery
ZIP-030,Zip_Mk4_standardized_fixed_wing,Nest_Delta,2024-06-01,1.75,55,5,standard_medical_delivery
