observed_at,hub,wind_speed_kph,wind_gust_kph,wind_direction,temperature_c,humidity_pct,precipitation_mm,visibility_km,operational_weather_status
2025-01-01T00:00:00,Nest_Alpha,12.9,16.2,SE,16.6,56.0,0,15.5,go
2025-01-01T01:00:00,Nest_Alpha,9.6,19.2,SW,18.0,59.5,0,13.7,go
2025-01-01T02:00:00,Nest_Alpha,8.9,17.6,SW,16.9,43.4,0,15.3,go
2025-01-01T03:00:00,Nest_Alpha,8.2,14.8,NW,18.3,54.7,0,13.6,go
2025-01-01T04:00:00,Nest_Alpha,10.4,12.9,NW,18.2,56.4,0,16.4,go
2025-01-01T05:00:00,Nest_Alpha,10.3,19.4,S,19.6,66.0,0,15.3,go
2025-01-01T06:00:00,Nest_Alpha,4.2,14.1,W,18.8,49.1,0,15.6,go
2025-01-01T07:00:00,Nest_Alpha,5.0,9.5,SE,21.3,62.9,0,13.4,go
2025-01-01T08:00:00,Nest_Alpha,10.4,16.0,NE,21.3,67.7,0,15.3,go
2025-01-01T09:00:00,Nest_Alpha,9.6,15.6,NE,22.0,56.7,0,13.9,go
2025-01-01T10:00:00,Nest_Alpha,12.4,20.9,SE,24.0,55.3,0,13.9,go
2025-01-01T11:00:00,Nest_Alpha,7.4,13.4,S,23.7,70.8,0,14.1,go
2025-01-01T12:00:00,Nest_Alpha,8.1,14.7,W,23.8,45.8,0,14.1,go
2025-01-01T13:00:00,Nest_Alpha,18.7,24.5,W,25.7,48.8,0,14.8,go
2025-01-01T14:00:00,Nest_Alpha,18.5,23.4,W,25.6,65.3,0,15.2,go
2025-01-01T15:00:00,Nest_Alpha,15.8,25.5,SW,24.3,58.9,0,14.2,go
2025-01-01T16:00:00,Nest_Alpha,14.8,19.9,S,24.4,77.9,0,15.6,go
2025-01-01T17:00:00,Nest_Alpha,16.8,26.4,NE,21.4,60.2,0,14.7,go
2025-01-01T18:00:00,Nest_Alpha,17.4,22.1,SW,21.8,62.5,0,15.7,go
2025-01-01T19:00:00,Nest_Alpha,16.0,20.6,SW,22.5,58.8,0,16.1,go
2025-01-01T20:00:00,Nest_Alpha,13.8,22.9,NW,20.6,44.3,0,13.4,go
2025-01-01T21:00:00,Nest_Alpha,13.3,19.3,N,20.1,40.6,0,15.0,go
