snapshot_date,drone_id,battery_pack_capacity_pct,battery_cycle_count,cell_voltage_spread_mv,motor_2_vibration_mm_s,motor_2_temperature_c,tether_descent_motor_current_a,parachute_release_test_ms,gps_module_health,maintenance_status
2025-01-01,ZIP-001,96.8,113,19.6,0.98,44.3,6.16,127.0,nominal,operational
2025-01-01,ZIP-002,95.3,116,18.5,1.13,43.7,5.88,115.0,nominal,operational
2025-01-01,ZIP-003,95.6,119,25.8,1.27,43.5,5.26,87.0,nominal,operational
2025-01-01,ZIP-004,96.4,122,23.0,1.17,44.0,6.12,118.0,nominal,operational
2025-01-01,ZIP-005,96.0,125,18.6,1.05,44.0,5.43,143.0,nominal,operational
2025-01-01,ZIP-006,95.6,128,24.0,1.11,45.6,5.79,107.0,nominal,operational
2025-01-01,ZIP-007,95.9,131,15.4,0.84,42.2,5.81,132.0,nominal,operational
2025-01-01,ZIP-008,97.0,134,15.0,1.13,43.0,5.89,121.0,nominal,operational
2025-01-01,ZIP-009,95.8,137,16.4,1.2,45.3,5.51,132.0,nominal,operational
2025-01-01,ZIP-010,96.3,140,21.4,0.95,44.0,5.3,149.0,nominal,operational
2025-01-01,ZIP-011,95.5,143,25.1,0.92,43.0,5.85,151.0,nominal,operational
2025-01-01,ZIP-012,96.3,146,20.4,1.01,43.6,5.34,93.0,nominal,operational
2025-01-01,ZIP-013,96.4,149,19.5,1.01,43.9,6.11,145.0,nominal,operational
2025-01-01,ZIP-014,95.2,152,21.6,0.86,43.6,5.79,126.0,nominal,operational
2025-01-01,ZIP-015,95.9,155,20.1,1.34,44.0,5.49,111.0,nominal,operational
2025-01-01,ZIP-016,96.4,158,18.4,1.18,44.8,5.62,136.0,nominal,operational
2025-01-01,ZIP-017,96.4,161,20.7,0.95,43.7,5.45,103.0,nominal,operational
2025-01-01,ZIP-018,96.1,164,26.1,0.76,43.4,5.57,110.0,nominal,operational
2025-01-01,ZIP-019,96.7,167,18.6,1.21,44.8,5.8,137.0,nominal,operational
2025-01-01,ZIP-020,96.4,170,25.4,1.15,44.1,5.22,123.0,nominal,operational
2025-01-01,ZIP-021,96.0,173,15.1,0.94,43.0,5.45,110.0,nominal,operational
2025-01-01,ZIP-022,95.6,176,33.0,1.23,44.3,5.91,112.0,nominal,operational
2025-01-01,ZIP-023,96.8,179,15.5,0.58,45.0,5.53,108.0,nominal,operational
2025-01-01,ZIP-024,95.6,182,26.6,1.02,44.7,5.71,125.0,nominal,operational
2025-01-01,ZIP-025,95.9,185,17.1,1.04,44.0,5.58,145.0,nominal,operational
2025-01-01,ZIP-026,96.0,188,25.3,1.25,44.9,5.66,109.0,nominal,operational
2025-01-01,ZIP-027,96.4,191,21.9,1.07,45.6,5.32,147.0,nominal,operational
2025-01-01,ZIP-028,96.2,194,18.5,1.1,43.2,6.02,108.0,nominal,operational
2025-01-01,ZIP-029,96.5,197,19.7,1.08,45.1,6.25,106.0,nominal,operational
2025-01-01,ZIP-030,95.1,110,17.0,1.19,46.2,6.02,124.0,nominal,operational
2025-01-02,ZIP-001,95.6,114,21.2,0.96,44.7,5.63,89.0,nominal,operational
2025-01-02,ZIP-002,96.1,117,18.9,0.93,44.8,5.73,130.0,nominal,operational
2025-01-02,ZIP-003,96.6,120,18.1,1.41,44.9,6.16,106.0,nominal,operational
2025-01-02,ZIP-004,96.0,123,17.7,0.99,45.1,5.57,98.0,nominal,operational
2025-01-02,ZIP-005,94.9,126,23.8,0.86,43.4,6.01,139.0,nominal,operational
2025-01-02,ZIP-006,95.8,129,20.6,1.02,43.6,5.35,117.0,nominal,operational
2025-01-02,ZIP-007,96.6,132,17.6,0.89,43.8,6.1,146.0,nominal,operational
2025-01-02,ZIP-008,95.7,135,16.0,0.88,43.5,5.68,114.0,nominal,operational
2025-01-02,ZIP-009,96.4,138,21.5,0.87,43.3,6.13,107.0,nominal,operational
2025-01-02,ZIP-010,96.0,141,36.3,1.12,47.1,5.88,152.0,nominal,operational
2025-01-02,ZIP-011,96.2,144,14.0,0.95,44.4,6.16,147.0,nominal,operational
2025-01-02,ZIP-012,95.2,147,23.8,0.78,44.4,5.67,106.0,nominal,operational
2025-01-02,ZIP-013,96.6,150,20.3,1.22,44.7,5.53,79.0,nominal,operational
2025-01-02,ZIP-014,95.9,153,11.6,0.91,42.3,6.26,134.0,nominal,operational
2025-01-02,ZIP-015,95.5,156,20.9,1.38,44.1,5.7,169.0,nominal,operational
2025-01-02,ZIP-016,95.5,159,34.9,1.18,45.8,5.77,155.0,nominal,operational
2025-01-02,ZIP-017,95.4,162,9.7,1.04,44.0,5.98,120.0,nominal,operational
2025-01-02,ZIP-018,96.2,165,18.4,1.35,45.4,5.94,110.0,nominal,operational
2025-01-02,ZIP-019,96.2,168,8,1.05,43.1,5.88,144.0,nominal,operational
2025-01-02,ZIP-020,95.8,171,15.6,0.8,43.9,6.03,126.0,nominal,operational
2025-01-02,ZIP-021,97.0,174,12.7,0.95,43.7,5.52,122.0,nominal,operational
2025-01-02,ZIP-022,95.8,177,19.1,1.26,44.5,5.87,131.0,nominal,operational
2025-01-02,ZIP-023,96.0,180,12.7,1.09,43.8,5.58,78.0,nominal,operational
2025-01-02,ZIP-024,96.0,183,17.8,1.04,44.8,5.92,135.0,nominal,operational
2025-01-02,ZIP-025,96.2,186,22.3,0.88,45.1,5.74,136.0,nominal,operational
2025-01-02,ZIP-026,95.5,189,11.0,0.96,43.3,5.97,134.0,nominal,operational
2025-01-02,ZIP-027,95.8,192,16.2,1.02,45.9,5.97,98.0,nominal,operational
2025-01-02,ZIP-028,96.1,195,20.6,1.09,44.5,6.33,145.0,nominal,operational
2025-01-02,ZIP-029,96.0,198,26.4,1.02,42.4,5.77,100.0,nominal,operational
2025-01-02,ZIP-030,96.6,111,20.4,0.72,43.2,5.55,122.0,nominal,operational
2025-01-03,ZIP-001,95.7,116,22.7,1.14,44.7,5.89,122.0,nominal,operational
2025-01-03,ZIP-002,96.5,119,18.4,1.1,44.5,5.91,103.0,nominal,operational
2025-01-03,ZIP-003,96.0,122,19.1,0.8,41.9,5.57,119.0,nominal,operational
2025-01-03,ZIP-004,96.6,125,20.0,1.18,42.9,5.62,123.0,nominal,operational
2025-01-03,ZIP-005,95.9,128,15.2,1.03,43.0,5.53,117.0,nominal,operational
2025-01-03,ZIP-006,96.6,131,17.6,1.01,45.1,5.52,109.0,nominal,operational
2025-01-03,ZIP-007,95.6,134,18.7,1.05,45.0,5.6,120.0,nominal,operational
2025-01-03,ZIP-008,95.6,137,21.7,0.95,43.5,5.45,140.0,nominal,operational
2025-01-03,ZIP-009,95.4,140,18.3,0.95,43.4,5.95,129.0,nominal,operational
2025-01-03,ZIP-010,95.9,143,16.6,1.41,45.3,5.92,105.0,nominal,operational
2025-01-03,ZIP-011,95.9,146,14.5,0.95,44.2,6.25,145.0,nominal,operational
2025-01-03,ZIP-012,95.5,149,22.4,1.13,44.8,5.7,91.0,nominal,operational
2025-01-03,ZIP-013,95.4,152,25.2,1.12,44.8,5.59,107.0,nominal,operational
2025-01-03,ZIP-014,95.7,155,20.0,0.98,44.6,5.97,90.0,nominal,operational
2025-01-03,ZIP-015,95.5,158,24.4,1.18,43.5,5.55,135.0,nominal,operational
2025-01-03,ZIP-016,95.8,161,10.5,1.39,45.3,6.03,130.0,nominal,operational
2025-01-03,ZIP-017,96.1,164,22.7,1.32,43.5,5.66,126.0,nominal,operational
2025-01-03,ZIP-018,96.1,167,15.4,0.98,44.5,5.82,132.0,nominal,operational
2025-01-03,ZIP-019,96.1,170,21.0,0.96,45.3,5.96,104.0,nominal,operational
2025-01-03,ZIP-020,95.4,173,25.1,0.94,45.4,5.59,139.0,nominal,operational
2025-01-03,ZIP-021,95.5,176,14.7,1.03,43.9,6.0,137.0,nominal,operational
2025-01-03,ZIP-022,96.1,179,23.3,1.05,43.4,5.99,106.0,nominal,operational
2025-01-03,ZIP-023,96.0,182,15.2,0.88,44.6,5.37,118.0,nominal,operational
2025-01-03,ZIP-024,95.9,185,15.1,0.98,44.7,5.52,87.0,nominal,operational
2025-01-03,ZIP-025,95.8,188,24.7,1.27,46.3,5.54,120.0,nominal,operational
2025-01-03,ZIP-026,94.9,191,16.3,1.07,44.4,5.43,121.0,nominal,operational
2025-01-03,ZIP-027,95.6,194,21.2,1.26,45.5,5.78,99.0,nominal,operational
2025-01-03,ZIP-028,96.4,197,19.7,1.32,45.4,5.33,118.0,nominal,operational
2025-01-03,ZIP-029,96.2,200,20.9,1.04,44.0,5.78,141.0,nominal,operational
2025-01-03,ZIP-030,96.4,113,19.4,1.18,44.6,6.0,139.0,nominal,operational
2025-01-04,ZIP-001,96.3,118,19.9,1.12,45.9,5.68,110.0,nominal,operational
2025-01-04,ZIP-002,96.2,121,15.1,0.9,45.1,5.65,125.0,nominal,operational
2025-01-04,ZIP-003,96.3,124,12.1,0.84,42.4,5.52,107.0,nominal,operational
2025-01-04,ZIP-004,95.8,127,29.0,1.1,43.7,5.77,144.0,nominal,operational
2025-01-04,ZIP-005,95.8,130,17.4,1.12,44.1,5.57,143.0,nominal,operational
2025-01-04,ZIP-006,96.3,133,33.8,0.66,42.0,6.02,144.0,nominal,operational
2025-01-04,ZIP-007,96.0,136,19.3,1.18,41.9,5.65,141.0,nominal,operational
2025-01-04,ZIP-008,95.7,139,24.9,1.2,44.2,5.58,100.0,nominal,operational
2025-01-04,ZIP-009,96.2,142,22.4,1.03,45.0,5.64,149.0,nominal,operational
2025-01-04,ZIP-010,96.0,145,21.0,0.73,41.8,5.47,107.0,nominal,operational
2025-01-04,ZIP-011,96.6,148,24.1,1.06,44.3,5.63,89.0,nominal,operational
2025-01-04,ZIP-012,95.5,151,14.7,1.39,45.2,5.99,108.0,nominal,operational
2025-01-04,ZIP-013,95.3,154,17.2,1.01,44.2,5.73,125.0,nominal,operational
2025-01-04,ZIP-014,95.9,157,20.7,1.04,44.0,6.38,87.0,nominal,operational
2025-01-04,ZIP-015,95.7,160,17.1,0.94,42.6,6.27,131.0,nominal,operational
2025-01-04,ZIP-016,95.9,163,25.7,0.85,44.0,5.78,154.0,nominal,operational
2025-01-04,ZIP-017,95.5,166,30.5,1.11,45.5,5.84,120.0,nominal,operational
2025-01-04,ZIP-018,95.4,169,15.3,1.16,44.7,5.18,93.0,nominal,operational
2025-01-04,ZIP-019,95.4,172,14.4,1.1,45.3,5.41,131.0,nominal,operational
2025-01-04,ZIP-020,96.0,175,25.1,1.08,43.0,5.8,111.0,nominal,operational
2025-01-04,ZIP-021,95.5,178,10.4,0.96,43.1,5.68,95.0,nominal,operational
2025-01-04,ZIP-022,96.1,181,24.8,1.21,44.7,6.23,154.0,nominal,operational
2025-01-04,ZIP-023,95.4,184,24.6,1.11,42.7,6.04,116.0,nominal,operational
2025-01-04,ZIP-024,95.2,187,13.5,0.9,43.3,5.77,97.0,nominal,operational
2025-01-04,ZIP-025,95.0,190,28.7,1.23,45.9,6.06,129.0,nominal,operational
2025-01-04,ZIP-026,96.2,193,10.1,1.09,44.7,5.74,80.0,nominal,operational
2025-01-04,ZIP-027,96.2,196,19.2,0.58,42.2,5.52,145.0,nominal,operational
2025-01-04,ZIP-028,95.7,199,21.0,1.06,45.2,6.18,145.0,nominal,operational
2025-01-04,ZIP-029,96.2,202,17.4,1.06,44.2,5.76,122.0,nominal,operational
2025-01-04,ZIP-030,96.0,115,27.2,1.04,43.8,5.42,166.0,nominal,operational
2025-01-05,ZIP-001,95.8,119,21.1,1.22,44.7,5.87,93.0,nominal,operational
2025-01-05,ZIP-002,95.7,122,16.1,1.27,44.0,6.12,127.0,nominal,operational
2025-01-05,ZIP-003,95.7,125,21.3,0.89,44.3,5.73,112.0,nominal,operational
2025-01-05,ZIP-004,96.2,128,19.4,0.85,44.0,5.64,130.0,nominal,operational
2025-01-05,ZIP-005,95.5,131,23.1,1.34,44.9,6.02,95.0,nominal,operational
2025-01-05,ZIP-006,96.3,134,19.8,0.83,42.8,6.24,116.0,nominal,operational
2025-01-05,ZIP-007,96.0,137,22.2,0.97,44.4,5.78,130.0,nominal,operational
2025-01-05,ZIP-008,95.8,140,20.0,1.04,44.5,5.44,116.0,nominal,operational
2025-01-05,ZIP-009,95.5,143,24.5,1.1,43.4,6.02,106.0,nominal,operational
2025-01-05,ZIP-010,96.2,146,13.9,1.06,44.8,6.28,129.0,nominal,operational
2025-01-05,ZIP-011,95.7,149,19.2,0.99,42.3,5.87,100.0,nominal,operational
2025-01-05,ZIP-012,95.1,152,22.6,1.04,43.3,5.72,139.0,nominal,operational
2025-01-05,ZIP-013,95.7,155,14.1,1.23,45.6,5.9,104.0,nominal,operational
2025-01-05,ZIP-014,96.1,158,30.2,1.17,44.7,5.71,120.0,nominal,operational
2025-01-05,ZIP-015,95.8,161,17.3,0.8,42.7,5.24,125.0,nominal,operational
2025-01-05,ZIP-016,95.9,164,17.7,1.23,45.8,5.83,146.0,nominal,operational
2025-01-05,ZIP-017,95.8,167,16.1,0.96,42.8,5.65,142.0,nominal,operational
2025-01-05,ZIP-018,96.1,170,15.9,1.07,45.7,5.34,108.0,nominal,operational
2025-01-05,ZIP-019,96.1,173,13.3,0.99,42.8,5.56,116.0,nominal,operational
2025-01-05,ZIP-020,96.2,176,23.3,0.88,42.4,5.91,129.0,nominal,operational
2025-01-05,ZIP-021,96.0,179,25.5,0.98,43.1,5.52,120.0,nominal,operational
2025-01-05,ZIP-022,96.0,182,22.9,1.25,44.4,5.77,101.0,nominal,operational
2025-01-05,ZIP-023,95.8,185,16.3,0.93,44.8,5.68,133.0,nominal,operational
2025-01-05,ZIP-024,96.3,188,22.8,1.22,45.2,6.37,112.0,nominal,operational
2025-01-05,ZIP-025,95.8,191,22.7,1.55,45.5,5.61,167.0,nominal,operational
2025-01-05,ZIP-026,95.7,194,21.9,0.89,44.1,6.13,134.0,nominal,operational
2025-01-05,ZIP-027,95.9,197,18.6,0.92,43.5,5.64,90.0,nominal,operational
