flight_id,drone_id,drone_model,date,launch_time,recovery_time,hub,destination,distance_one_way_km,payload_type,payload_item,payload_weight_kg,urgency,cruise_speed_kph,cruise_altitude_m,flight_duration_min,battery_start_pct,battery_end_pct,battery_consumption_pct,wind_speed_kph,wind_gust_kph,visibility_km,status,anomaly_flag,operator_notes
FL-10000,ZIP-005,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T13:15:00,2025-01-01T14:31:42,Nest_Alpha,Ngoma_Health_Post,55.1,vaccine,routine_vaccines,0.75,emergency,99.0,95.8,76.7,97,27.9,69.1,18.7,24.5,14.8,completed,none,
FL-10001,ZIP-004,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T11:15:00,2025-01-01T12:05:12,Nest_Alpha,Kabuga_Health_Center,34.2,medication,antiretroviral_supply,1.05,routine,104.9,113.7,50.2,98,45.8,52.2,7.4,13.4,14.1,completed,none,
FL-10002,ZIP-003,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T06:35:00,2025-01-01T07:16:06,Nest_Alpha,Kigali_East_Clinic,26.5,supplies,diagnostic_test_kits,0.9,routine,101.5,105.4,41.1,97,54.8,42.2,4.2,14.1,15.6,completed,none,
FL-10003,ZIP-007,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T12:50:00,2025-01-01T13:28:48,Nest_Alpha,Rwamagana_Clinic,28.5,medication,insulin_cold_chain,0.65,routine,100.1,101.9,38.8,96,47.8,48.2,8.1,14.7,14.1,completed,none,
FL-10004,ZIP-002,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T06:55:00,2025-01-01T07:58:48,Nest_Alpha,Kayonza_Clinic,47.8,medication,insulin_cold_chain,0.65,routine,101.9,112.8,63.8,97,37.5,59.5,4.2,14.1,15.6,completed,none,
FL-10005,ZIP-007,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T18:10:00,2025-01-01T19:19:00,Nest_Alpha,Bugesera_Health_Post,52.3,blood_product,platelets_2_units,1.55,routine,99.6,98.3,69.0,97,25.8,71.2,17.4,22.1,15.7,completed,none,
FL-10006,ZIP-007,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T06:15:00,2025-01-01T06:54:18,Nest_Alpha,Rwamagana_Clinic,28.5,blood_product,O_negative_whole_blood,1.35,routine,102.6,102.8,39.3,98,50.6,47.4,4.2,14.1,15.6,completed,none,
FL-10007,ZIP-008,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T10:10:00,2025-01-01T10:48:54,Nest_Alpha,Kigali_East_Clinic,26.5,supplies,diagnostic_test_kits,0.9,routine,103.3,103.3,38.9,96,52.2,43.8,12.4,20.9,13.9,completed,none,
FL-10008,ZIP-004,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T10:50:00,2025-01-01T11:53:06,Nest_Alpha,Kayonza_Clinic,47.8,vaccine,routine_vaccines,0.75,routine,106.0,114.5,63.1,97,38.5,58.5,12.4,20.9,13.9,completed,none,
FL-10009,ZIP-006,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T16:40:00,2025-01-01T17:44:06,Nest_Alpha,Kayonza_Clinic,47.8,blood_product,platelets_2_units,1.55,routine,103.2,108.8,64.1,97,33.1,63.9,14.8,19.9,15.6,completed,none,
