flight_id,order_id,drone_id,drone_model,fulfillment_site,merchant_id,merchant_name,merchant_category,delivery_zone,launch_at,delivered_at,distance_one_way_km,payload_weight_kg,service_level,promised_minutes,actual_minutes,battery_consumption_pct,wind_speed_kph,visibility_km,status,anomaly_flag,operator_note
FL-US-30000,ORD-US-30000,ZIP-US-003,standardized_commercial_delivery_platform,Northside_Fulfillment,M-001,Green Basket Market,grocery,Maplewood,2025-04-01T18:20:00,2025-04-01T18:27:48,2.7,1.07,standard,55,7.8,32.4,13.2,17.4,delivered,none,
FL-US-30001,ORD-US-30001,ZIP-US-004,standardized_commercial_delivery_platform,Northside_Fulfillment,M-003,Pasta Garden,prepared_food,Maplewood,2025-04-01T18:19:00,2025-04-01T18:27:18,2.7,0.59,standard,55,8.3,30.3,13.2,17.4,delivered,none,
FL-US-30002,ORD-US-30002,ZIP-US-004,standardized_commercial_delivery_platform,Northside_Fulfillment,M-004,QuickCare Pharmacy,pharmacy,Cedar Park,2025-04-01T09:08:00,2025-04-01T09:18:00,4.4,1.44,priority,35,10.0,37.2,11.3,15.2,delivered,none,
FL-US-30003,ORD-US-30003,ZIP-US-004,standardized_commercial_delivery_platform,Northside_Fulfillment,M-003,Pasta Garden,prepared_food,Cedar Park,2025-04-01T19:48:00,2025-04-01T19:58:12,4.4,0.93,priority,35,10.2,34.3,17.3,15.0,delivered,none,
FL-US-30004,ORD-US-30004,ZIP-US-003,standardized_commercial_delivery_platform,Northside_Fulfillment,M-001,Green Basket Market,grocery,Brookfield,2025-04-01T13:58:00,2025-04-01T14:09:54,8.9,1.09,standard,55,11.9,51.4,9.4,17.9,delivered,none,
FL-US-30005,ORD-US-30005,ZIP-US-002,standardized_commercial_delivery_platform,Northside_Fulfillment,M-001,Green Basket Market,grocery,North Hills,2025-04-01T08:57:00,2025-04-01T09:10:24,6.8,0.99,priority,35,13.4,43.8,10.4,15.4,delivered,none,
FL-US-30006,ORD-US-30006,ZIP-US-002,standardized_commercial_delivery_platform,Northside_Fulfillment,M-001,Green Basket Market,grocery,Brookfield,2025-04-01T16:53:00,2025-04-01T17:04:30,8.9,1.13,standard,55,11.5,49.4,18.8,15.6,delivered,none,
FL-US-30007,ORD-US-30007,ZIP-US-005,standardized_commercial_delivery_platform,Northside_Fulfillment,M-004,QuickCare Pharmacy,pharmacy,North Hills,2025-04-01T09:37:00,2025-04-01T09:47:54,6.8,0.27,standard,55,10.9,38.3,11.3,15.2,delivered,none,
FL-US-30008,ORD-US-30008,ZIP-US-008,standardized_commercial_delivery_platform,Northside_Fulfillment,M-004,QuickCare Pharmacy,pharmacy,Brookfield,2025-04-01T17:47:00,2025-04-01T17:59:12,8.9,1.6,standard,55,12.2,53.9,18.2,15.3,delivered,none,
FL-US-30009,ORD-US-30009,ZIP-US-002,standardized_commercial_delivery_platform,Northside_Fulfillment,M-004,QuickCare Pharmacy,pharmacy,Maplewood,2025-04-01T16:00:00,2025-04-01T16:07:12,2.7,0.88,standard,55,7.2,30.5,18.8,15.6,delivered,none,
FL-US-30010,ORD-US-30010,ZIP-US-001,standardized_commercial_delivery_platform,Northside_Fulfillment,M-001,Green Basket Market,grocery,Maplewood,2025-04-01T17:17:00,2025-04-01T17:24:36,2.7,0.69,standard,55,7.6,30.5,18.2,15.3,delivered,none,
FL-US-30011,ORD-US-30011,ZIP-US-002,standardized_commercial_delivery_platform,Northside_Fulfillment,M-002,Crisp & Co.,prepared_food,Cedar Park,2025-04-01T14:13:00,2025-04-01T14:23:06,4.4,1.63,standard,55,10.1,35.8,13.0,16.1,delivered,none,
FL-US-30012,ORD-US-30012,ZIP-US-006,standardized_commercial_delivery_platform,Northside_Fulfillment,M-003,Pasta Garden,prepared_food,North Hills,2025-04-01T13:01:00,2025-04-01T13:11:48,6.8,1.47,standard,55,10.8,43.7,9.4,17.9,delivered,none,
FL-US-30013,ORD-US-30013,ZIP-US-005,standardized_commercial_delivery_platform,Northside_Fulfillment,M-002,Crisp & Co.,prepared_food,North Hills,2025-04-01T11:22:00,2025-04-01T11:32:36,6.8,1.59,priority,35,10.6,45.0,8.4,15.9,delivered,none,
FL-US-30014,ORD-US-30014,ZIP-US-006,standardized_commercial_delivery_platform,Northside_Fulfillment,M-003,Pasta Garden,prepared_food,Cedar Park,2025-04-01T09:17:00,2025-04-01T09:27:24,4.4,0.31,priority,35,10.4,35.9,11.3,15.2,delivered,none,
FL-US-30015,ORD-US-30015,ZIP-US-007,standardized_commercial_delivery_platform,Northside_Fulfillment,M-004,QuickCare Pharmacy,pharmacy,North Hills,2025-04-01T14:29:00,2025-04-01T14:40:00,6.8,0.69,standard,55,11.0,38.0,13.0,16.1,delivered,none,
FL-US-30016,ORD-US-30016,ZIP-US-007,standardized_commercial_delivery_platform,Northside_Fulfillment,M-001,Green Basket Market,grocery,North Hills,2025-04-01T19:01:00,2025-04-01T19:10:06,6.8,1.32,standard,55,9.1,49.1,17.3,15.0,delivered,none,
