order_id,requested_at,merchant_id,merchant_name,merchant_category,fulfillment_site,delivery_zone,item_count,payload_weight_kg,service_level,promised_minutes,order_status
ORD-US-30000,2025-04-01T18:10:00,M-001,Green Basket Market,grocery,Northside_Fulfillment,Maplewood,2,1.07,standard,55,fulfilled
ORD-US-30001,2025-04-01T18:05:00,M-003,Pasta Garden,prepared_food,Northside_Fulfillment,Maplewood,5,0.59,standard,55,fulfilled
ORD-US-30002,2025-04-01T08:40:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,Cedar Park,3,1.44,priority,35,fulfilled
ORD-US-30003,2025-04-01T19:25:00,M-003,Pasta Garden,prepared_food,Northside_Fulfillment,Cedar Park,1,0.93,priority,35,fulfilled
ORD-US-30004,2025-04-01T13:35:00,M-001,Green Basket Market,grocery,Northside_Fulfillment,Brookfield,1,1.09,standard,55,fulfilled
ORD-US-30005,2025-04-01T08:30:00,M-001,Green Basket Market,grocery,Northside_Fulfillment,North Hills,5,0.99,priority,35,fulfilled
ORD-US-30006,2025-04-01T16:30:00,M-001,Green Basket Market,grocery,Northside_Fulfillment,Brookfield,3,1.13,standard,55,fulfilled
ORD-US-30007,2025-04-01T09:25:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,North Hills,5,0.27,standard,55,fulfilled
ORD-US-30008,2025-04-01T17:20:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,Brookfield,5,1.6,standard,55,fulfilled
ORD-US-30009,2025-04-01T15:30:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,Maplewood,5,0.88,standard,55,fulfilled
ORD-US-30010,2025-04-01T16:45:00,M-001,Green Basket Market,grocery,Northside_Fulfillment,Maplewood,1,0.69,standard,55,fulfilled
ORD-US-30011,2025-04-01T13:45:00,M-002,Crisp & Co.,prepared_food,Northside_Fulfillment,Cedar Park,2,1.63,standard,55,fulfilled
ORD-US-30012,2025-04-01T12:30:00,M-003,Pasta Garden,prepared_food,Northside_Fulfillment,North Hills,1,1.47,standard,55,fulfilled
ORD-US-30013,2025-04-01T10:50:00,M-002,Crisp & Co.,prepared_food,Northside_Fulfillment,North Hills,3,1.59,priority,35,fulfilled
ORD-US-30014,2025-04-01T08:55:00,M-003,Pasta Garden,prepared_food,Northside_Fulfillment,Cedar Park,2,0.31,priority,35,fulfilled
ORD-US-30015,2025-04-01T14:05:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,North Hills,2,0.69,standard,55,fulfilled
ORD-US-30016,2025-04-01T18:50:00,M-001,Green Basket Market,grocery,Northside_Fulfillment,North Hills,3,1.32,standard,55,fulfilled
ORD-US-30017,2025-04-01T18:55:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,Cedar Park,5,1.27,priority,35,fulfilled
ORD-US-30018,2025-04-01T08:00:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,Brookfield,5,1.44,standard,55,fulfilled
ORD-US-30019,2025-04-01T08:05:00,M-003,Pasta Garden,prepared_food,Northside_Fulfillment,Brookfield,3,0.43,time_sensitive,25,fulfilled
ORD-US-30020,2025-04-01T13:45:00,M-002,Crisp & Co.,prepared_food,Northside_Fulfillment,Cedar Park,3,0.59,standard,55,fulfilled
