ticket_id,order_id,opened_at,contact_reason,resolution,refund_amount_usd,customer_sentiment
CS-30121,ORD-US-30120,2025-04-01T13:34:18,late_delivery,explanation_provided,8,negative
CS-30142,ORD-US-30141,2025-04-02T10:34:06,late_delivery,credit_issued,5,positive
CS-30202,ORD-US-30201,2025-04-02T14:32:42,late_delivery,explanation_provided,5,positive
CS-30214,ORD-US-30213,2025-04-02T16:06:06,late_delivery,credit_issued,12,negative
CS-30232,ORD-US-30231,2025-04-02T19:21:24,late_delivery,credit_issued,8,negative
CS-30297,ORD-US-30296,2025-04-03T18:04:18,late_delivery,explanation_provided,8,negative
CS-30394,ORD-US-30393,2025-04-04T13:25:36,late_delivery,credit_issued,12,neutral
CS-30448,ORD-US-30447,2025-04-04T17:48:36,late_delivery,explanation_provided,3,positive
CS-30470,ORD-US-30469,2025-04-04T11:53:42,late_delivery,explanation_provided,8,positive
CS-30489,ORD-US-30488,2025-04-05T12:22:24,late_delivery,credit_issued,5,negative
CS-30499,ORD-US-30498,2025-04-05T19:30:36,late_delivery,credit_issued,5,positive
CS-30524,ORD-US-30523,2025-04-05T12:04:24,late_delivery,explanation_provided,3,neutral
CS-30554,ORD-US-30553,2025-04-05T20:10:24,late_delivery,explanation_provided,5,positive
CS-30615,ORD-US-30614,2025-04-06T20:52:30,late_delivery,explanation_provided,8,positive
CS-30653,ORD-US-30652,2025-04-06T10:32:54,late_delivery,credit_issued,8,negative
CS-30688,ORD-US-30687,2025-04-06T11:00:36,late_delivery,explanation_provided,12,negative
CS-30718,ORD-US-30717,2025-04-06T15:57:54,late_delivery,credit_issued,5,neutral
CS-30817,ORD-US-30816,2025-04-07T20:45:36,late_delivery,credit_issued,8,neutral
CS-30845,ORD-US-30844,2025-04-08T16:21:42,late_delivery,explanation_provided,8,positive
CS-30877,ORD-US-30876,2025-04-08T16:48:48,late_delivery,explanation_provided,0,positive
CS-30989,ORD-US-30988,2025-04-09T17:39:42,late_delivery,explanation_provided,0,negative
CS-31056,ORD-US-31055,2025-04-09T18:17:24,late_delivery,credit_issued,0,negative
CS-31095,ORD-US-31094,2025-04-10T10:52:24,late_delivery,credit_issued,8,positive
CS-31142,ORD-US-31141,2025-04-10T18:35:54,late_delivery,credit_issued,5,negative
CS-31152,ORD-US-31151,2025-04-10T17:59:00,late_delivery,explanation_provided,8,negative
CS-31174,ORD-US-31173,2025-04-10T10:21:30,late_delivery,credit_issued,8,neutral
CS-31185,ORD-US-31184,2025-04-10T18:54:24,late_delivery,credit_issued,8,negative
CS-31209,ORD-US-31208,2025-04-10T14:21:42,late_delivery,explanation_provided,0,positive
CS-31247,ORD-US-31246,2025-04-11T11:27:54,late_delivery,credit_issued,8,negative
CS-31265,ORD-US-31264,2025-04-11T17:52:00,late_delivery,explanation_provided,3,positive
CS-31266,ORD-US-31265,2025-04-11T14:14:24,late_delivery,credit_issued,12,negative
CS-31285,ORD-US-31284,2025-04-11T21:38:36,late_delivery,credit_issued,3,positive
CS-31297,ORD-US-31296,2025-04-11T17:48:48,late_delivery,credit_issued,0,positive
CS-31308,ORD-US-31307,2025-04-11T19:40:00,late_delivery,credit_issued,12,neutral
CS-31335,ORD-US-31334,2025-04-11T18:41:36,late_delivery,credit_issued,12,negative
CS-31351,ORD-US-31350,2025-04-12T12:15:18,late_delivery,explanation_provided,0,negative
CS-31381,ORD-US-31380,2025-04-12T15:32:24,late_delivery,credit_issued,12,positive
CS-31391,ORD-US-31390,2025-04-12T12:03:12,late_delivery,credit_issued,5,positive
CS-31409,ORD-US-31408,2025-04-12T11:17:48,late_delivery,credit_issued,8,neutral
CS-31455,ORD-US-31454,2025-04-12T18:11:06,late_delivery,credit_issued,5,neutral
CS-31481,ORD-US-31480,2025-04-13T14:41:30,late_delivery,explanation_provided,12,neutral
CS-31526,ORD-US-31525,2025-04-13T10:19:00,late_delivery,credit_issued,8,negative
CS-31633,ORD-US-31632,2025-04-14T19:12:54,late_delivery,explanation_provided,5,positive
CS-31651,ORD-US-31650,2025-04-14T12:27:00,late_delivery,explanation_provided,5,negative
CS-31699,ORD-US-31698,2025-04-14T09:55:30,late_delivery,credit_issued,12,neutral
CS-31787,ORD-US-31786,2025-04-15T21:24:00,late_delivery,credit_issued,0,neutral
CS-31789,ORD-US-31788,2025-04-15T14:13:12,late_delivery,explanation_provided,12,negative
CS-31856,ORD-US-31855,2025-04-16T10:45:54,late_delivery,credit_issued,3,negative
CS-31860,ORD-US-31859,2025-04-16T15:50:24,late_delivery,credit_issued,3,negative
CS-31901,ORD-US-31900,2025-04-16T21:05:12,late_delivery,credit_issued,3,positive
CS-31928,ORD-US-31927,2025-04-16T20:34:12,late_delivery,credit_issued,8,positive
CS-31941,ORD-US-31940,2025-04-16T19:03:24,late_delivery,explanation_provided,0,positive
CS-32172,ORD-US-32171,2025-04-18T09:34:48,late_delivery,explanation_provided,12,negative
CS-32222,ORD-US-32221,2025-04-19T21:25:24,late_delivery,credit_issued,8,negative
CS-32266,ORD-US-32265,2025-04-19T14:29:12,late_delivery,credit_issued,0,positive
CS-32292,ORD-US-32291,2025-04-19T19:29:36,late_delivery,credit_issued,5,negative
CS-32313,ORD-US-32312,2025-04-19T17:13:12,late_delivery,explanation_provided,12,neutral
