snapshot_date,drone_id,home_site,battery_capacity_pct,battery_cycle_count,cell_voltage_spread_mv,motor_vibration_mm_s,tether_descent_baseline_sec,maintenance_status
2025-04-01,ZIP-US-001,Northside_Fulfillment,95.6,133,13.7,0.95,35.3,operational
2025-04-01,ZIP-US-002,Northside_Fulfillment,95.6,136,27.7,1.27,36.9,operational
2025-04-01,ZIP-US-003,Northside_Fulfillment,96.2,139,25.8,0.95,37.5,operational
2025-04-01,ZIP-US-004,Northside_Fulfillment,96.1,142,17.1,0.88,36.2,operational
2025-04-01,ZIP-US-005,Northside_Fulfillment,96.4,145,27.3,1.19,36.9,operational
2025-04-01,ZIP-US-006,Northside_Fulfillment,96.4,148,21.2,1.08,36.0,operational
2025-04-01,ZIP-US-007,Northside_Fulfillment,96.3,151,14.0,0.75,36.5,operational
2025-04-01,ZIP-US-008,Northside_Fulfillment,95.8,154,15.2,0.81,35.4,operational
2025-04-01,ZIP-US-009,Central_Fulfillment,96.3,157,22.7,0.91,37.2,operational
2025-04-01,ZIP-US-010,Central_Fulfillment,96.3,160,18.3,1.03,35.5,operational
2025-04-01,ZIP-US-011,Central_Fulfillment,96.7,163,23.8,0.99,35.9,operational
2025-04-01,ZIP-US-012,Central_Fulfillment,95.9,166,17.8,0.92,38.8,operational
2025-04-01,ZIP-US-013,Central_Fulfillment,96.1,169,14.1,0.93,36.8,operational
2025-04-01,ZIP-US-014,Central_Fulfillment,96.2,172,24.7,0.73,36.0,operational
2025-04-01,ZIP-US-015,Central_Fulfillment,95.5,175,12.0,1.11,36.1,operational
2025-04-01,ZIP-US-016,Central_Fulfillment,95.8,178,18.6,0.72,38.3,operational
2025-04-01,ZIP-US-017,Eastside_Fulfillment,96.7,181,21.4,1.09,36.2,operational
2025-04-01,ZIP-US-018,Eastside_Fulfillment,96.6,184,18.5,0.97,37.3,operational
2025-04-01,ZIP-US-019,Eastside_Fulfillment,95.8,187,29.0,0.99,38.2,operational
2025-04-01,ZIP-US-020,Eastside_Fulfillment,96.2,190,18.9,0.96,36.1,operational
2025-04-01,ZIP-US-021,Eastside_Fulfillment,95.6,193,18.5,0.97,38.0,operational
2025-04-01,ZIP-US-022,Eastside_Fulfillment,95.9,196,23.6,1.12,37.0,operational
2025-04-01,ZIP-US-023,Eastside_Fulfillment,95.7,199,18.2,1.02,36.8,operational
2025-04-01,ZIP-US-024,Eastside_Fulfillment,96.5,202,22.1,0.84,37.8,operational
2025-04-02,ZIP-US-001,Northside_Fulfillment,96.1,134,20.6,1.02,37.5,operational
2025-04-02,ZIP-US-002,Northside_Fulfillment,95.7,137,22.5,1.05,36.9,operational
2025-04-02,ZIP-US-003,Northside_Fulfillment,95.8,140,11.7,0.92,36.8,operational
2025-04-02,ZIP-US-004,Northside_Fulfillment,96.0,143,28.8,0.9,39.0,operational
2025-04-02,ZIP-US-005,Northside_Fulfillment,95.0,146,17.8,1.04,36.8,operational
2025-04-02,ZIP-US-006,Northside_Fulfillment,95.7,149,29.6,0.91,37.6,operational
2025-04-02,ZIP-US-007,Northside_Fulfillment,96.2,152,26.4,1.09,38.1,operational
2025-04-02,ZIP-US-008,Northside_Fulfillment,96.0,155,17.6,0.94,36.6,operational
2025-04-02,ZIP-US-009,Central_Fulfillment,95.6,158,12.0,1.0,37.1,operational
