drone_id,drone_model,home_site,max_payload_kg,normal_route_limit_km,planned_flights_per_day
ZIP-US-001,standardized_commercial_delivery_platform,Northside_Fulfillment,1.75,10,5
ZIP-US-002,standardized_commercial_delivery_platform,Northside_Fulfillment,1.75,10,5
ZIP-US-003,standardized_commercial_delivery_platform,Northside_Fulfillment,1.75,10,5
ZIP-US-004,standardized_commercial_delivery_platform,Northside_Fulfillment,1.75,10,5
ZIP-US-005,standardized_commercial_delivery_platform,Northside_Fulfillment,1.75,10,5
ZIP-US-006,standardized_commercial_delivery_platform,Northside_Fulfillment,1.75,10,5
ZIP-US-007,standardized_commercial_delivery_platform,Northside_Fulfillment,1.75,10,5
ZIP-US-008,standardized_commercial_delivery_platform,Northside_Fulfillment,1.75,10,5
ZIP-US-009,standardized_commercial_delivery_platform,Central_Fulfillment,1.75,10,5
ZIP-US-010,standardized_commercial_delivery_platform,Central_Fulfillment,1.75,10,5
ZIP-US-011,standardized_commercial_delivery_platform,Central_Fulfillment,1.75,10,5
ZIP-US-012,standardized_commercial_delivery_platform,Central_Fulfillment,1.75,10,5
ZIP-US-013,standardized_commercial_delivery_platform,Central_Fulfillment,1.75,10,5
ZIP-US-014,standardized_commercial_delivery_platform,Central_Fulfillment,1.75,10,5
ZIP-US-015,standardized_commercial_delivery_platform,Central_Fulfillment,1.75,10,5
ZIP-US-016,standardized_commercial_delivery_platform,Central_Fulfillment,1.75,10,5
ZIP-US-017,standardized_commercial_delivery_platform,Eastside_Fulfillment,1.75,10,5
ZIP-US-018,standardized_commercial_delivery_platform,Eastside_Fulfillment,1.75,10,5
ZIP-US-019,standardized_commercial_delivery_platform,Eastside_Fulfillment,1.75,10,5
ZIP-US-020,standardized_commercial_delivery_platform,Eastside_Fulfillment,1.75,10,5
ZIP-US-021,standardized_commercial_delivery_platform,Eastside_Fulfillment,1.75,10,5
ZIP-US-022,standardized_commercial_delivery_platform,Eastside_Fulfillment,1.75,10,5
ZIP-US-023,standardized_commercial_delivery_platform,Eastside_Fulfillment,1.75,10,5
ZIP-US-024,standardized_commercial_delivery_platform,Eastside_Fulfillment,1.75,10,5
