telemetry_id,flight_id,drone_id,recorded_at,phase,battery_pct,battery_temp_c,cell_voltage_spread_mv,motor_vibration_mm_s,gps_hdop,tether_descent_sec,sensor_status
TEL-30001-pickup,FL-US-30000,ZIP-US-003,2025-04-01T18:20:00,pickup,100,30.7,13.7,0.96,0.8,36.1,nominal
TEL-30001-outbound,FL-US-30000,ZIP-US-003,2025-04-01T18:23:54,outbound,83.8,30.2,24.8,0.81,0.86,36.2,nominal
TEL-30001-recovery,FL-US-30000,ZIP-US-003,2025-04-01T18:27:24,recovery,69.2,30.4,23.0,1.14,0.73,35.1,nominal
TEL-30002-pickup,FL-US-30001,ZIP-US-004,2025-04-01T18:19:00,pickup,100,30.4,23.0,1.08,0.78,37.9,nominal
TEL-30002-outbound,FL-US-30001,ZIP-US-004,2025-04-01T18:23:09,outbound,84.8,28.2,22.5,1.01,0.71,37.3,nominal
TEL-30002-recovery,FL-US-30001,ZIP-US-004,2025-04-01T18:26:53,recovery,71.2,29.6,23.0,0.86,1.0,38.1,nominal
TEL-30003-pickup,FL-US-30002,ZIP-US-004,2025-04-01T09:08:00,pickup,100,28.5,19.9,1.09,0.75,35.1,nominal
TEL-30003-outbound,FL-US-30002,ZIP-US-004,2025-04-01T09:13:00,outbound,81.4,30.6,12.8,0.99,0.92,36.0,nominal
TEL-30003-recovery,FL-US-30002,ZIP-US-004,2025-04-01T09:17:30,recovery,64.6,31.3,16.7,1.22,0.91,36.6,nominal
TEL-30004-pickup,FL-US-30003,ZIP-US-004,2025-04-01T19:48:00,pickup,100,30.8,16.6,0.76,1.12,34.0,nominal
TEL-30004-outbound,FL-US-30003,ZIP-US-004,2025-04-01T19:53:06,outbound,82.9,30.6,22.3,0.84,0.76,36.0,nominal
TEL-30004-recovery,FL-US-30003,ZIP-US-004,2025-04-01T19:57:41,recovery,67.4,31.4,19.6,1.15,0.69,36.8,nominal
TEL-30005-pickup,FL-US-30004,ZIP-US-003,2025-04-01T13:58:00,pickup,100,31.3,19.9,1.03,0.98,37.7,nominal
TEL-30005-outbound,FL-US-30004,ZIP-US-003,2025-04-01T14:03:57,outbound,74.3,32.2,20.9,0.87,1.07,37.0,nominal
TEL-30005-recovery,FL-US-30004,ZIP-US-003,2025-04-01T14:09:18,recovery,51.2,31.5,26.1,1.1,0.55,37.4,nominal
TEL-30006-pickup,FL-US-30005,ZIP-US-002,2025-04-01T08:57:00,pickup,100,31.7,27.4,0.96,1.25,36.9,nominal
TEL-30006-outbound,FL-US-30005,ZIP-US-002,2025-04-01T09:03:42,outbound,78.1,29.8,23.1,1.06,0.85,36.2,nominal
TEL-30006-recovery,FL-US-30005,ZIP-US-002,2025-04-01T09:09:43,recovery,58.4,30.8,18.1,1.01,0.7,36.8,nominal
TEL-30007-pickup,FL-US-30006,ZIP-US-002,2025-04-01T16:53:00,pickup,100,34.0,24.8,1.0,0.7,37.2,nominal
TEL-30007-outbound,FL-US-30006,ZIP-US-002,2025-04-01T16:58:45,outbound,75.3,31.0,17.7,1.09,0.95,37.5,nominal
TEL-30007-recovery,FL-US-30006,ZIP-US-002,2025-04-01T17:03:55,recovery,53.1,32.1,19.7,1.17,0.88,36.9,nominal
TEL-30008-pickup,FL-US-30007,ZIP-US-005,2025-04-01T09:37:00,pickup,100,31.0,15.1,1.07,0.71,37.2,nominal
TEL-30008-outbound,FL-US-30007,ZIP-US-005,2025-04-01T09:42:27,outbound,80.8,29.4,25.7,0.95,0.99,36.9,nominal
TEL-30008-recovery,FL-US-30007,ZIP-US-005,2025-04-01T09:47:21,recovery,63.6,31.0,17.6,1.18,0.95,37.4,nominal
