merchant_event_id,order_id,merchant_id,merchant_name,event_at,ready_status,estimated_prep_min,additional_delay_min,handoff_verified
ME-30001,ORD-US-30000,M-001,Green Basket Market,2025-04-01T18:25:12,ready_on_time,15.2,0,True
ME-30002,ORD-US-30001,M-003,Pasta Garden,2025-04-01T18:22:06,ready_on_time,17.1,0,True
ME-30003,ORD-US-30002,M-004,QuickCare Pharmacy,2025-04-01T08:51:00,ready_on_time,11.0,0,True
ME-30004,ORD-US-30003,M-003,Pasta Garden,2025-04-01T19:32:54,ready_on_time,7.9,0,True
ME-30005,ORD-US-30004,M-001,Green Basket Market,2025-04-01T13:46:00,ready_on_time,11.0,0,True
ME-30006,ORD-US-30005,M-001,Green Basket Market,2025-04-01T08:52:24,ready_on_time,22.4,0,True
ME-30007,ORD-US-30006,M-001,Green Basket Market,2025-04-01T16:47:42,ready_on_time,17.7,0,True
ME-30008,ORD-US-30007,M-004,QuickCare Pharmacy,2025-04-01T09:45:00,ready_on_time,20.0,0,True
ME-30009,ORD-US-30008,M-004,QuickCare Pharmacy,2025-04-01T17:30:54,ready_on_time,10.9,0,True
ME-30010,ORD-US-30009,M-004,QuickCare Pharmacy,2025-04-01T15:46:24,ready_on_time,16.4,0,True
ME-30011,ORD-US-30010,M-001,Green Basket Market,2025-04-01T16:53:12,ready_on_time,8.2,0,True
ME-30012,ORD-US-30011,M-002,Crisp & Co.,2025-04-01T13:52:18,ready_on_time,7.3,0,True
ME-30013,ORD-US-30012,M-003,Pasta Garden,2025-04-01T12:39:48,ready_on_time,9.8,0,True
ME-30014,ORD-US-30013,M-002,Crisp & Co.,2025-04-01T11:03:48,ready_on_time,13.8,0,True
ME-30015,ORD-US-30014,M-003,Pasta Garden,2025-04-01T09:07:54,ready_on_time,12.9,0,True
ME-30016,ORD-US-30015,M-004,QuickCare Pharmacy,2025-04-01T14:15:18,ready_on_time,10.3,0,True
ME-30017,ORD-US-30016,M-001,Green Basket Market,2025-04-01T19:01:48,ready_on_time,11.8,0,True
ME-30018,ORD-US-30017,M-004,QuickCare Pharmacy,2025-04-01T19:14:36,ready_on_time,19.6,0,True
ME-30019,ORD-US-30018,M-004,QuickCare Pharmacy,2025-04-01T08:15:48,ready_on_time,15.8,0,True
ME-30020,ORD-US-30019,M-003,Pasta Garden,2025-04-01T08:19:12,ready_on_time,14.2,0,True
ME-30021,ORD-US-30020,M-002,Crisp & Co.,2025-04-01T13:56:36,ready_on_time,11.6,0,True
ME-30022,ORD-US-30021,M-003,Pasta Garden,2025-04-01T08:48:54,ready_on_time,13.9,0,True
ME-30023,ORD-US-30022,M-004,QuickCare Pharmacy,2025-04-01T11:06:18,ready_on_time,11.3,0,True
ME-30024,ORD-US-30023,M-003,Pasta Garden,2025-04-01T10:41:00,ready_on_time,16.0,0,True
ME-30025,ORD-US-30024,M-001,Green Basket Market,2025-04-01T17:27:42,ready_on_time,12.7,0,True
ME-30026,ORD-US-30025,M-003,Pasta Garden,2025-04-01T13:50:54,ready_on_time,10.9,0,True
ME-30027,ORD-US-30026,M-003,Pasta Garden,2025-04-01T12:19:18,ready_on_time,9.3,0,True
ME-30028,ORD-US-30027,M-001,Green Basket Market,2025-04-01T16:54:42,ready_on_time,9.7,0,True
ME-30029,ORD-US-30028,M-001,Green Basket Market,2025-04-01T15:34:06,ready_on_time,14.1,0,True
ME-30030,ORD-US-30029,M-002,Crisp & Co.,2025-04-01T14:27:54,ready_on_time,12.9,0,True
ME-30031,ORD-US-30030,M-002,Crisp & Co.,2025-04-01T18:00:42,ready_on_time,10.7,0,True
ME-30032,ORD-US-30031,M-003,Pasta Garden,2025-04-01T10:52:48,ready_on_time,12.8,0,True
ME-30033,ORD-US-30032,M-004,QuickCare Pharmacy,2025-04-01T18:19:18,ready_on_time,9.3,0,True
ME-30034,ORD-US-30033,M-003,Pasta Garden,2025-04-01T16:13:18,ready_on_time,18.3,0,True
ME-30035,ORD-US-30034,M-001,Green Basket Market,2025-04-01T18:05:00,ready_on_time,5.0,0,True
ME-30036,ORD-US-30035,M-003,Pasta Garden,2025-04-01T09:11:06,ready_on_time,16.1,0,True
ME-30037,ORD-US-30036,M-002,Crisp & Co.,2025-04-01T18:37:18,ready_on_time,17.3,0,True
ME-30038,ORD-US-30037,M-002,Crisp & Co.,2025-04-01T14:14:30,ready_on_time,24.5,0,True
ME-30039,ORD-US-30038,M-004,QuickCare Pharmacy,2025-04-01T16:28:54,ready_on_time,8.9,0,True
ME-30040,ORD-US-30039,M-003,Pasta Garden,2025-04-01T10:05:06,ready_on_time,15.1,0,True
ME-30041,ORD-US-30040,M-002,Crisp & Co.,2025-04-01T09:54:00,ready_on_time,14.0,0,True
ME-30042,ORD-US-30041,M-006,Fresh Roots Grocery,2025-04-01T10:57:18,ready_on_time,12.3,0,True
