observed_at,fulfillment_site,wind_speed_kph,wind_gust_kph,precipitation_mm,temperature_c,visibility_km,operating_condition
2025-04-01T00:00:00,Northside_Fulfillment,9.7,13.6,0,11.4,16.5,normal
2025-04-01T01:00:00,Northside_Fulfillment,10.5,18.2,0,13.8,15.6,normal
2025-04-01T02:00:00,Northside_Fulfillment,11.1,16.0,0,12.4,16.8,normal
2025-04-01T03:00:00,Northside_Fulfillment,4.7,8.6,0,11.9,17.3,normal
2025-04-01T04:00:00,Northside_Fulfillment,5.4,11.9,0,13.5,15.3,normal
2025-04-01T05:00:00,Northside_Fulfillment,9.2,17.3,0,13.7,16.5,normal
2025-04-01T06:00:00,Northside_Fulfillment,9.5,13.0,0,15.9,16.5,normal
2025-04-01T07:00:00,Northside_Fulfillment,10.1,17.2,0,18.4,17.9,normal
2025-04-01T08:00:00,Northside_Fulfillment,10.4,19.2,0,20.9,15.4,normal
2025-04-01T09:00:00,Northside_Fulfillment,11.3,19.6,0,21.8,15.2,normal
2025-04-01T10:00:00,Northside_Fulfillment,6.9,12.1,0,22.9,16.3,normal
2025-04-01T11:00:00,Northside_Fulfillment,8.4,13.8,0,24.0,15.9,normal
2025-04-01T12:00:00,Northside_Fulfillment,8.7,11.4,0,24.8,16.5,normal
2025-04-01T13:00:00,Northside_Fulfillment,9.4,14.9,0,24.8,17.9,normal
2025-04-01T14:00:00,Northside_Fulfillment,13.0,19.1,0,25.4,16.1,normal
2025-04-01T15:00:00,Northside_Fulfillment,14.3,18.3,0,23.8,16.6,normal
2025-04-01T16:00:00,Northside_Fulfillment,18.8,21.5,0,23.1,15.6,normal
2025-04-01T17:00:00,Northside_Fulfillment,18.2,27.2,0,21.4,15.3,normal
2025-04-01T18:00:00,Northside_Fulfillment,13.2,21.6,0,20.2,17.4,normal
2025-04-01T19:00:00,Northside_Fulfillment,17.3,20.4,0,17.4,15.0,normal
2025-04-01T20:00:00,Northside_Fulfillment,15.4,19.7,0,14.9,16.1,normal
2025-04-01T21:00:00,Northside_Fulfillment,14.3,20.5,0,15.1,13.8,normal
2025-04-01T22:00:00,Northside_Fulfillment,8.0,14.6,0,13.7,16.5,normal
2025-04-01T23:00:00,Northside_Fulfillment,11.8,18.9,0,12.3,16.0,normal
2025-04-01T00:00:00,Central_Fulfillment,9.4,12.2,0,11.8,14.4,normal
2025-04-01T01:00:00,Central_Fulfillment,8.9,13.7,0,12.4,16.4,normal
2025-04-01T02:00:00,Central_Fulfillment,9.3,11.5,0,9.4,15.7,normal
2025-04-01T03:00:00,Central_Fulfillment,8.5,16.8,0,12.4,15.3,normal
2025-04-01T04:00:00,Central_Fulfillment,6.7,10.4,0,12.7,16.5,normal
2025-04-01T05:00:00,Central_Fulfillment,6.0,8.1,0,14.5,15.9,normal
2025-04-01T06:00:00,Central_Fulfillment,10.0,18.5,0,15.9,15.2,normal
2025-04-01T07:00:00,Central_Fulfillment,8.7,11.0,0,18.6,16.2,normal
2025-04-01T08:00:00,Central_Fulfillment,11.2,19.1,0,20.0,15.9,normal
2025-04-01T09:00:00,Central_Fulfillment,7.4,14.2,0,22.6,16.1,normal
2025-04-01T10:00:00,Central_Fulfillment,11.8,20.6,0,22.0,17.2,normal
2025-04-01T11:00:00,Central_Fulfillment,10.4,19.3,0,23.3,16.2,normal
2025-04-01T12:00:00,Central_Fulfillment,8.2,11.7,0,23.6,16.0,normal
2025-04-01T13:00:00,Central_Fulfillment,11.7,16.9,0,26.1,15.2,normal
2025-04-01T14:00:00,Central_Fulfillment,13.2,16.2,0,23.6,16.5,normal
2025-04-01T15:00:00,Central_Fulfillment,14.7,20.9,0,23.8,16.8,normal
2025-04-01T16:00:00,Central_Fulfillment,11.9,20.1,0,21.6,17.2,normal
